Tweet,Sarcasm (yes/no)
I genuinely love athletes.,no
vegetarians are genuinely amazing.,no
Nothing better than a scientists moment.,yes
"Had a doctors, best experience ever. Not.",yes
Nothing better than a the workshop moment.,yes
"Everyone loves the concert, right?",yes
this book are truly inspiring.,no
Because athletes really make everything better.,yes
this movie are truly inspiring.,no
Had a great time with engineers.,no
I am always excited for musicians.,no
this movie are genuinely amazing.,no
the concert are genuinely amazing.,no
writers are genuinely amazing.,no
"scientists are so wonderful, said no one ever.",yes
"the game are so wonderful, said no one ever.",yes
"scientists are so wonderful, said no one ever.",yes
I genuinely love athletes.,no
I genuinely love athletes.,no
I am always excited for musicians.,no
"Oh great, another artists. Just what I needed.",yes
I find doctors to be wonderful.,no
I find my new phone to be wonderful.,no
Can't wait for more of this movie.,yes
Nothing better than a the conference moment.,yes
Nothing better than a artists moment.,yes
Can't wait for more of the concert.,no
Because musicians really make everything better.,yes
vegetarians have always been great.,no
I genuinely love doctors.,no
Can't wait for more of writers.,yes
I just love when the workshop happens.,yes
Nothing better than a this movie moment.,yes
I genuinely love writers.,no
Nothing better than a the game moment.,yes
the game are truly inspiring.,no
musicians are genuinely amazing.,no
I just love when the conference happens.,yes
I just love when the workshop happens.,yes
Had a great time with this book.,no
artists have always been great.,no
Can't wait for more of doctors.,no
Can't wait for more of scientists.,no
Nothing better than a vegetarians moment.,yes
Can't wait for more of the conference.,no
I am always excited for engineers.,no
I just love when artists happens.,yes
"Had a engineers, best experience ever. Not.",yes
Can't wait for more of artists.,no
"Everyone loves the concert, right?",yes
I am always excited for this book.,no
the meal are truly inspiring.,no
the concert are genuinely amazing.,no
Can't wait for more of the meal.,no
"Everyone loves my new phone, right?",yes
Can't wait for more of the meal.,no
I am always excited for the game.,no
I genuinely love engineers.,no
Nothing better than a writers moment.,yes
the meal are genuinely amazing.,no
I am always excited for artists.,no
"Oh great, another my new phone. Just what I needed.",yes
"Had a vegetarians, best experience ever. Not.",yes
"Oh great, another the game. Just what I needed.",yes
"Everyone loves artists, right?",yes
Because athletes really make everything better.,yes
artists are truly inspiring.,no
doctors are truly inspiring.,no
I find scientists to be wonderful.,no
Had a great time with engineers.,no
"Had a the concert, best experience ever. Not.",yes
Can't wait for more of this movie.,no
I am always excited for the workshop.,no
"Everyone loves musicians, right?",yes
artists are genuinely amazing.,no
I genuinely love athletes.,no
I am always excited for athletes.,no
"Had a athletes, best experience ever. Not.",yes
my new phone have always been great.,no
"the meal are so wonderful, said no one ever.",yes
I just love when the meal happens.,yes
"Oh great, another engineers. Just what I needed.",yes
Can't wait for more of the conference.,no
I genuinely love my new phone.,no
Because the meal really make everything better.,yes
I just love when musicians happens.,yes
"Had a athletes, best experience ever. Not.",yes
"Everyone loves vegetarians, right?",yes
I just love when the concert happens.,yes
scientists are genuinely amazing.,no
"athletes are so wonderful, said no one ever.",yes
"Everyone loves scientists, right?",yes
Can't wait for more of doctors.,no
I am always excited for the game.,no
I genuinely love artists.,no
artists are truly inspiring.,no
I genuinely love musicians.,no
the concert are genuinely amazing.,no
"Everyone loves the game, right?",yes
Had a great time with the workshop.,no
Can't wait for more of musicians.,no
"Everyone loves athletes, right?",yes
"Had a musicians, best experience ever. Not.",yes
"Oh great, another engineers. Just what I needed.",yes
my new phone are genuinely amazing.,no
the workshop are truly inspiring.,no
"Everyone loves vegetarians, right?",yes
Nothing better than a musicians moment.,yes
writers have always been great.,no
I genuinely love the conference.,no
"Everyone loves the meal, right?",yes
I find this book to be wonderful.,no
"Oh great, another the meal. Just what I needed.",yes
"Everyone loves the workshop, right?",yes
Had a great time with this book.,no
Had a great time with the concert.,no
I genuinely love athletes.,no
I find writers to be wonderful.,no
writers have always been great.,no
I am always excited for the workshop.,no
I just love when the meal happens.,yes
I just love when the conference happens.,yes
"Everyone loves athletes, right?",yes
"Oh great, another artists. Just what I needed.",yes
the workshop are genuinely amazing.,no
I just love when the concert happens.,yes
I genuinely love engineers.,no
I find the workshop to be wonderful.,no
Can't wait for more of vegetarians.,no
Nothing better than a the meal moment.,yes
"Had a the workshop, best experience ever. Not.",yes
"Oh great, another artists. Just what I needed.",yes
Had a great time with athletes.,no
I am always excited for scientists.,no
I am always excited for the meal.,no
Nothing better than a doctors moment.,yes
Can't wait for more of the meal.,no
"Had a the game, best experience ever. Not.",yes
"writers are so wonderful, said no one ever.",yes
athletes have always been great.,no
athletes are genuinely amazing.,no
this book are truly inspiring.,no
I am always excited for doctors.,no
vegetarians are genuinely amazing.,no
Had a great time with engineers.,no
doctors are genuinely amazing.,no
I find the workshop to be wonderful.,no
"Oh great, another this movie. Just what I needed.",yes
the game are truly inspiring.,no
I am always excited for doctors.,no
Because the meal really make everything better.,yes
I genuinely love vegetarians.,no
Because artists really make everything better.,yes
"Oh great, another musicians. Just what I needed.",yes
Nothing better than a the meal moment.,yes
the workshop have always been great.,no
Can't wait for more of musicians.,yes
Because artists really make everything better.,yes
writers are truly inspiring.,no
"Everyone loves the meal, right?",yes
Can't wait for more of writers.,yes
I genuinely love the concert.,no
Because the concert really make everything better.,yes
I just love when writers happens.,yes
I am always excited for the conference.,no
I am always excited for my new phone.,no
I am always excited for musicians.,no
I am always excited for the meal.,no
"Everyone loves musicians, right?",yes
this book are truly inspiring.,no
writers are genuinely amazing.,no
"Oh great, another writers. Just what I needed.",yes
I just love when engineers happens.,yes
"writers are so wonderful, said no one ever.",yes
the meal are genuinely amazing.,no
Can't wait for more of doctors.,yes
the concert have always been great.,no
engineers are truly inspiring.,no
athletes are genuinely amazing.,no
this book are genuinely amazing.,no
musicians have always been great.,no
I find my new phone to be wonderful.,no
"musicians are so wonderful, said no one ever.",yes
"Oh great, another artists. Just what I needed.",yes
I am always excited for my new phone.,no
"Everyone loves the workshop, right?",yes
"Oh great, another doctors. Just what I needed.",yes
Had a great time with the conference.,no
I am always excited for the game.,no
Because the workshop really make everything better.,yes
"the concert are so wonderful, said no one ever.",yes
this movie are genuinely amazing.,no
I just love when the concert happens.,yes
doctors have always been great.,no
"Oh great, another engineers. Just what I needed.",yes
I just love when this movie happens.,yes
I just love when my new phone happens.,yes
Because my new phone really make everything better.,yes
Because the game really make everything better.,yes
"Oh great, another this movie. Just what I needed.",yes
Can't wait for more of artists.,no
I find the game to be wonderful.,no
Can't wait for more of doctors.,no
artists are truly inspiring.,no
Can't wait for more of the meal.,yes
the concert are genuinely amazing.,no
this movie are truly inspiring.,no
I am always excited for this book.,no
I find scientists to be wonderful.,no
artists have always been great.,no
I find my new phone to be wonderful.,no
I find this book to be wonderful.,no
Can't wait for more of vegetarians.,no
Had a great time with the workshop.,no
Had a great time with engineers.,no
I am always excited for scientists.,no
Had a great time with the workshop.,no
Because scientists really make everything better.,yes
musicians are truly inspiring.,no
the conference have always been great.,no
Can't wait for more of scientists.,no
Can't wait for more of the concert.,yes
the concert are genuinely amazing.,no
"musicians are so wonderful, said no one ever.",yes
I am always excited for this book.,no
Can't wait for more of the workshop.,no
"Oh great, another this book. Just what I needed.",yes
I genuinely love writers.,no
"Oh great, another the workshop. Just what I needed.",yes
this book have always been great.,no
I find the workshop to be wonderful.,no
I genuinely love the game.,no
I just love when the game happens.,yes
"Had a the meal, best experience ever. Not.",yes
Nothing better than a writers moment.,yes
I just love when doctors happens.,yes
I find writers to be wonderful.,no
"Everyone loves the meal, right?",yes
vegetarians are truly inspiring.,no
the game are genuinely amazing.,no
engineers have always been great.,no
Can't wait for more of artists.,no
"Everyone loves the meal, right?",yes
I find my new phone to be wonderful.,no
"Oh great, another doctors. Just what I needed.",yes
I genuinely love the concert.,no
I am always excited for this movie.,no
this movie are genuinely amazing.,no
Nothing better than a scientists moment.,yes
the workshop are genuinely amazing.,no
Nothing better than a the concert moment.,yes
I find my new phone to be wonderful.,no
I am always excited for writers.,no
doctors are genuinely amazing.,no
"Oh great, another artists. Just what I needed.",yes
Had a great time with the workshop.,no
"athletes are so wonderful, said no one ever.",yes
Can't wait for more of my new phone.,no
"Oh great, another writers. Just what I needed.",yes
I genuinely love the meal.,no
Had a great time with this book.,no
I am always excited for my new phone.,no
"the meal are so wonderful, said no one ever.",yes
"Oh great, another this book. Just what I needed.",yes
I just love when this movie happens.,yes
Because writers really make everything better.,yes
"Everyone loves this book, right?",yes
"Had a the game, best experience ever. Not.",yes
musicians have always been great.,no
I genuinely love musicians.,no
the concert are genuinely amazing.,no
"Everyone loves the meal, right?",yes
Can't wait for more of this movie.,no
Nothing better than a the meal moment.,yes
the meal are truly inspiring.,no
"Had a the concert, best experience ever. Not.",yes
Can't wait for more of the meal.,yes
I find the meal to be wonderful.,no
writers are genuinely amazing.,no
I just love when this movie happens.,yes
I am always excited for this book.,no
Because athletes really make everything better.,yes
"Everyone loves engineers, right?",yes
artists are genuinely amazing.,no
writers have always been great.,no
Can't wait for more of this movie.,no
Nothing better than a athletes moment.,yes
Had a great time with vegetarians.,no
"Everyone loves artists, right?",yes
"Oh great, another doctors. Just what I needed.",yes
doctors are genuinely amazing.,no
engineers are genuinely amazing.,no
Can't wait for more of scientists.,yes
doctors are genuinely amazing.,no
"Oh great, another the concert. Just what I needed.",yes
I just love when doctors happens.,yes
I genuinely love vegetarians.,no
Can't wait for more of artists.,yes
scientists are genuinely amazing.,no
I am always excited for vegetarians.,no
"Oh great, another this movie. Just what I needed.",yes
"Everyone loves writers, right?",yes
"Everyone loves musicians, right?",yes
I find artists to be wonderful.,no
Can't wait for more of the game.,no
Nothing better than a vegetarians moment.,yes
artists are genuinely amazing.,no
Nothing better than a vegetarians moment.,yes
Nothing better than a engineers moment.,yes
"this movie are so wonderful, said no one ever.",yes
the workshop are genuinely amazing.,no
"Oh great, another writers. Just what I needed.",yes
"Oh great, another this movie. Just what I needed.",yes
I am always excited for this movie.,no
I genuinely love the meal.,no
"Oh great, another musicians. Just what I needed.",yes
Had a great time with engineers.,no
"Oh great, another this movie. Just what I needed.",yes
I find writers to be wonderful.,no
I just love when vegetarians happens.,yes
doctors are genuinely amazing.,no
Can't wait for more of engineers.,yes
I am always excited for writers.,no
Can't wait for more of musicians.,no
"Had a my new phone, best experience ever. Not.",yes
"Everyone loves athletes, right?",yes
this book are truly inspiring.,no
scientists are truly inspiring.,no
Had a great time with my new phone.,no
Can't wait for more of vegetarians.,yes
"Everyone loves athletes, right?",yes
scientists have always been great.,no
I find doctors to be wonderful.,no
I find the game to be wonderful.,no
"Oh great, another artists. Just what I needed.",yes
Had a great time with musicians.,no
"Everyone loves vegetarians, right?",yes
Can't wait for more of the meal.,no
"vegetarians are so wonderful, said no one ever.",yes
"vegetarians are so wonderful, said no one ever.",yes
the game are genuinely amazing.,no
doctors are truly inspiring.,no
"Had a the concert, best experience ever. Not.",yes
the workshop are truly inspiring.,no
Can't wait for more of the game.,no
the concert are genuinely amazing.,no
"Had a my new phone, best experience ever. Not.",yes
"Had a my new phone, best experience ever. Not.",yes
Because the meal really make everything better.,yes
writers are genuinely amazing.,no
"Had a doctors, best experience ever. Not.",yes
I am always excited for this book.,no
I am always excited for this movie.,no
I genuinely love my new phone.,no
Nothing better than a the concert moment.,yes
Nothing better than a artists moment.,yes
"Oh great, another the conference. Just what I needed.",yes
I just love when writers happens.,yes
I am always excited for this movie.,no
I just love when my new phone happens.,yes
"Had a athletes, best experience ever. Not.",yes
Had a great time with this book.,no
Because doctors really make everything better.,yes
the conference are truly inspiring.,no
"Everyone loves this movie, right?",yes
my new phone are genuinely amazing.,no
the meal are truly inspiring.,no
"Everyone loves engineers, right?",yes
I genuinely love this movie.,no
Nothing better than a this movie moment.,yes
"Had a athletes, best experience ever. Not.",yes
Had a great time with the concert.,no
"Oh great, another doctors. Just what I needed.",yes
Can't wait for more of the workshop.,no
Can't wait for more of artists.,no
Because athletes really make everything better.,yes
Had a great time with artists.,no
I find writers to be wonderful.,no
Because the conference really make everything better.,yes
Can't wait for more of engineers.,yes
vegetarians are genuinely amazing.,no
"Had a the meal, best experience ever. Not.",yes
I am always excited for artists.,no
"Oh great, another writers. Just what I needed.",yes
Can't wait for more of writers.,yes
engineers are truly inspiring.,no
"Oh great, another the meal. Just what I needed.",yes
I just love when musicians happens.,yes
Can't wait for more of artists.,yes
Had a great time with the workshop.,no
I genuinely love the conference.,no
Can't wait for more of writers.,no
Nothing better than a musicians moment.,yes
Had a great time with doctors.,no
Can't wait for more of vegetarians.,yes
Had a great time with doctors.,no
Nothing better than a writers moment.,yes
"this book are so wonderful, said no one ever.",yes
Had a great time with this book.,no
Can't wait for more of the game.,no
Nothing better than a musicians moment.,yes
I find the conference to be wonderful.,no
Can't wait for more of artists.,yes
Because artists really make everything better.,yes
I just love when my new phone happens.,yes
"Everyone loves artists, right?",yes
the concert are truly inspiring.,no
I find this book to be wonderful.,no
vegetarians are truly inspiring.,no
"Oh great, another my new phone. Just what I needed.",yes
Had a great time with vegetarians.,no
"Everyone loves the concert, right?",yes
I just love when the meal happens.,yes
Nothing better than a this movie moment.,yes
Nothing better than a musicians moment.,yes
I just love when the concert happens.,yes
Can't wait for more of musicians.,yes
Had a great time with doctors.,no
athletes are genuinely amazing.,no
Nothing better than a musicians moment.,yes
"Oh great, another doctors. Just what I needed.",yes
"this movie are so wonderful, said no one ever.",yes
"the workshop are so wonderful, said no one ever.",yes
I genuinely love athletes.,no
the game are genuinely amazing.,no
I just love when doctors happens.,yes
my new phone are truly inspiring.,no
Because this book really make everything better.,yes
Can't wait for more of doctors.,no
"this book are so wonderful, said no one ever.",yes
I find the game to be wonderful.,no
the conference are truly inspiring.,no
Can't wait for more of the concert.,no
Nothing better than a my new phone moment.,yes
I find this book to be wonderful.,no
Because engineers really make everything better.,yes
I genuinely love the meal.,no
artists are genuinely amazing.,no
I am always excited for musicians.,no
Had a great time with the meal.,no
Nothing better than a athletes moment.,yes
Nothing better than a the concert moment.,yes
Can't wait for more of the meal.,no
I just love when this book happens.,yes
I genuinely love writers.,no
"Oh great, another the meal. Just what I needed.",yes
I am always excited for this movie.,no
I genuinely love the conference.,no
Had a great time with scientists.,no
I find artists to be wonderful.,no
I just love when musicians happens.,yes
Can't wait for more of writers.,no
I am always excited for doctors.,no
I find doctors to be wonderful.,no
I find the meal to be wonderful.,no
Can't wait for more of the conference.,no
I find this book to be wonderful.,no
"athletes are so wonderful, said no one ever.",yes
Can't wait for more of this book.,yes
"Oh great, another doctors. Just what I needed.",yes
"Oh great, another writers. Just what I needed.",yes
Because athletes really make everything better.,yes
"Oh great, another vegetarians. Just what I needed.",yes
this movie have always been great.,no
I find athletes to be wonderful.,no
"Everyone loves the concert, right?",yes
Because writers really make everything better.,yes
"Had a musicians, best experience ever. Not.",yes
Had a great time with the game.,no
Can't wait for more of scientists.,no
Can't wait for more of athletes.,yes
"Had a musicians, best experience ever. Not.",yes
"athletes are so wonderful, said no one ever.",yes
Had a great time with the workshop.,no
musicians have always been great.,no
I am always excited for musicians.,no
"the workshop are so wonderful, said no one ever.",yes
scientists are truly inspiring.,no
"Had a this movie, best experience ever. Not.",yes
Can't wait for more of scientists.,no
athletes are genuinely amazing.,no
I am always excited for the meal.,no
"Everyone loves artists, right?",yes
I genuinely love athletes.,no
the concert are truly inspiring.,no
this book have always been great.,no
"the game are so wonderful, said no one ever.",yes
I genuinely love this book.,no
I am always excited for the game.,no
Can't wait for more of this movie.,yes
I find the concert to be wonderful.,no
"doctors are so wonderful, said no one ever.",yes
I am always excited for the conference.,no
"Everyone loves artists, right?",yes
athletes are genuinely amazing.,no
Can't wait for more of engineers.,yes
Because vegetarians really make everything better.,yes
Can't wait for more of the concert.,no
"Had a vegetarians, best experience ever. Not.",yes
I genuinely love athletes.,no
"Oh great, another the conference. Just what I needed.",yes
Because this book really make everything better.,yes
I genuinely love the conference.,no
Because the conference really make everything better.,yes
"the conference are so wonderful, said no one ever.",yes
Can't wait for more of doctors.,no
"vegetarians are so wonderful, said no one ever.",yes
"Everyone loves my new phone, right?",yes
Nothing better than a the workshop moment.,yes
Nothing better than a musicians moment.,yes
I just love when athletes happens.,yes
I just love when vegetarians happens.,yes
the concert have always been great.,no
Nothing better than a vegetarians moment.,yes
"Everyone loves doctors, right?",yes
Nothing better than a artists moment.,yes
I am always excited for engineers.,no
"Everyone loves athletes, right?",yes
Can't wait for more of writers.,yes
scientists are genuinely amazing.,no
I find artists to be wonderful.,no
"musicians are so wonderful, said no one ever.",yes
I genuinely love my new phone.,no
the conference are genuinely amazing.,no
"Oh great, another the meal. Just what I needed.",yes
"Had a musicians, best experience ever. Not.",yes
Had a great time with the concert.,no
Nothing better than a the workshop moment.,yes
I am always excited for the meal.,no
the concert have always been great.,no
"the workshop are so wonderful, said no one ever.",yes
Nothing better than a the game moment.,yes
Because the game really make everything better.,yes
Can't wait for more of musicians.,no
I genuinely love the concert.,no
I am always excited for the concert.,no
I find this book to be wonderful.,no
doctors are genuinely amazing.,no
Can't wait for more of this book.,no
Can't wait for more of the workshop.,no
I just love when musicians happens.,yes
the concert have always been great.,no
"Had a the concert, best experience ever. Not.",yes
Nothing better than a scientists moment.,yes
I find artists to be wonderful.,no
I just love when vegetarians happens.,yes
I genuinely love the game.,no
"Everyone loves scientists, right?",yes
"Oh great, another this book. Just what I needed.",yes
I genuinely love my new phone.,no
I find the workshop to be wonderful.,no
Because engineers really make everything better.,yes
"Had a vegetarians, best experience ever. Not.",yes
Can't wait for more of the meal.,no
Nothing better than a vegetarians moment.,yes
Can't wait for more of the conference.,no
I just love when the meal happens.,yes
Can't wait for more of vegetarians.,no
the game are truly inspiring.,no
"Had a my new phone, best experience ever. Not.",yes
engineers have always been great.,no
I am always excited for the concert.,no
I am always excited for the game.,no
Because the game really make everything better.,yes
Nothing better than a the concert moment.,yes
doctors have always been great.,no
Can't wait for more of the conference.,yes
Can't wait for more of the conference.,yes
doctors are truly inspiring.,no
I just love when this book happens.,yes
I just love when my new phone happens.,yes
I genuinely love the workshop.,no
Can't wait for more of the conference.,no
athletes have always been great.,no
Had a great time with athletes.,no
Nothing better than a writers moment.,yes
Can't wait for more of vegetarians.,no
I just love when scientists happens.,yes
the game have always been great.,no
vegetarians have always been great.,no
I find my new phone to be wonderful.,no
"Oh great, another scientists. Just what I needed.",yes
"vegetarians are so wonderful, said no one ever.",yes
"the conference are so wonderful, said no one ever.",yes
Because this book really make everything better.,yes
writers have always been great.,no
scientists are truly inspiring.,no
Because the workshop really make everything better.,yes
Can't wait for more of doctors.,no
Had a great time with this movie.,no
Because my new phone really make everything better.,yes
Can't wait for more of athletes.,yes
"Everyone loves artists, right?",yes
Can't wait for more of writers.,yes
engineers are genuinely amazing.,no
I genuinely love the concert.,no
musicians are truly inspiring.,no
Had a great time with musicians.,no
Had a great time with artists.,no
"Oh great, another vegetarians. Just what I needed.",yes
the concert are genuinely amazing.,no
I am always excited for this book.,no
"Had a doctors, best experience ever. Not.",yes
Because engineers really make everything better.,yes
Had a great time with this book.,no
I am always excited for scientists.,no
I just love when scientists happens.,yes
the game are genuinely amazing.,no
I find this book to be wonderful.,no
engineers are truly inspiring.,no
I genuinely love scientists.,no
vegetarians have always been great.,no
Nothing better than a this book moment.,yes
doctors are truly inspiring.,no
"writers are so wonderful, said no one ever.",yes
I am always excited for this movie.,no
I find the meal to be wonderful.,no
Because this movie really make everything better.,yes
"Had a the conference, best experience ever. Not.",yes
I just love when my new phone happens.,yes
Nothing better than a this movie moment.,yes
musicians are genuinely amazing.,no
"Oh great, another the workshop. Just what I needed.",yes
I find writers to be wonderful.,no
"Had a the meal, best experience ever. Not.",yes
Because engineers really make everything better.,yes
"Had a artists, best experience ever. Not.",yes
Can't wait for more of athletes.,no
Had a great time with the game.,no
Had a great time with the game.,no
engineers are genuinely amazing.,no
doctors are truly inspiring.,no
Nothing better than a this movie moment.,yes
I find the conference to be wonderful.,no
Can't wait for more of scientists.,yes
I just love when doctors happens.,yes
Can't wait for more of writers.,yes
"Everyone loves artists, right?",yes
scientists are genuinely amazing.,no
I am always excited for my new phone.,no
I just love when writers happens.,yes
Because scientists really make everything better.,yes
"Had a doctors, best experience ever. Not.",yes
"Oh great, another the game. Just what I needed.",yes
scientists have always been great.,no
"Oh great, another the concert. Just what I needed.",yes
"Had a vegetarians, best experience ever. Not.",yes
engineers have always been great.,no
"Had a this movie, best experience ever. Not.",yes
I find musicians to be wonderful.,no
I just love when this book happens.,yes
"Had a the conference, best experience ever. Not.",yes
the conference are truly inspiring.,no
I find athletes to be wonderful.,no
Can't wait for more of this book.,yes
"Oh great, another the game. Just what I needed.",yes
"Everyone loves the game, right?",yes
Because artists really make everything better.,yes
Can't wait for more of this book.,yes
the game are truly inspiring.,no
Had a great time with the game.,no
"the conference are so wonderful, said no one ever.",yes
Had a great time with this book.,no
I genuinely love my new phone.,no
doctors are genuinely amazing.,no
Because writers really make everything better.,yes
I genuinely love the game.,no
I genuinely love musicians.,no
"Oh great, another vegetarians. Just what I needed.",yes
Had a great time with vegetarians.,no
Nothing better than a artists moment.,yes
the meal have always been great.,no
"Everyone loves athletes, right?",yes
Nothing better than a doctors moment.,yes
I just love when this movie happens.,yes
I just love when my new phone happens.,yes
Because doctors really make everything better.,yes
I just love when artists happens.,yes
writers are genuinely amazing.,no
I am always excited for the concert.,no
I find the conference to be wonderful.,no
I find the meal to be wonderful.,no
Can't wait for more of this movie.,yes
"Everyone loves the concert, right?",yes
"Had a artists, best experience ever. Not.",yes
Because the game really make everything better.,yes
I find doctors to be wonderful.,no
I find writers to be wonderful.,no
"scientists are so wonderful, said no one ever.",yes
Nothing better than a doctors moment.,yes
Nothing better than a artists moment.,yes
Had a great time with the meal.,no
I find artists to be wonderful.,no
I just love when writers happens.,yes
Because the concert really make everything better.,yes
Had a great time with this movie.,no
Had a great time with the conference.,no
I find scientists to be wonderful.,no
Nothing better than a my new phone moment.,yes
"Everyone loves scientists, right?",yes
engineers are genuinely amazing.,no
Can't wait for more of this book.,no
vegetarians have always been great.,no
musicians are truly inspiring.,no
Can't wait for more of this book.,no
Nothing better than a scientists moment.,yes
I genuinely love this movie.,no
"Had a the concert, best experience ever. Not.",yes
Nothing better than a the meal moment.,yes
I just love when this book happens.,yes
the meal are genuinely amazing.,no
musicians are genuinely amazing.,no
the meal have always been great.,no
athletes are truly inspiring.,no
I find scientists to be wonderful.,no
the meal are truly inspiring.,no
this movie are genuinely amazing.,no
"Had a engineers, best experience ever. Not.",yes
"Had a athletes, best experience ever. Not.",yes
the workshop are truly inspiring.,no
I am always excited for this movie.,no
"writers are so wonderful, said no one ever.",yes
"doctors are so wonderful, said no one ever.",yes
"Everyone loves doctors, right?",yes
Can't wait for more of doctors.,no
"Everyone loves vegetarians, right?",yes
Can't wait for more of the conference.,no
vegetarians are genuinely amazing.,no
I just love when the game happens.,yes
doctors have always been great.,no
"Had a vegetarians, best experience ever. Not.",yes
I am always excited for the concert.,no
I find this book to be wonderful.,no
I am always excited for the meal.,no
Nothing better than a writers moment.,yes
Can't wait for more of writers.,no
"Oh great, another the game. Just what I needed.",yes
I genuinely love artists.,no
"Everyone loves artists, right?",yes
Because writers really make everything better.,yes
Can't wait for more of vegetarians.,no
I find the conference to be wonderful.,no
doctors have always been great.,no
Had a great time with vegetarians.,no
"Had a the conference, best experience ever. Not.",yes
my new phone are genuinely amazing.,no
"doctors are so wonderful, said no one ever.",yes
doctors are genuinely amazing.,no
I genuinely love athletes.,no
I am always excited for musicians.,no
this book are genuinely amazing.,no
"Oh great, another this movie. Just what I needed.",yes
"Everyone loves this book, right?",yes
Had a great time with this book.,no
this book are genuinely amazing.,no
Because vegetarians really make everything better.,yes
I am always excited for my new phone.,no
"this book are so wonderful, said no one ever.",yes
the workshop are genuinely amazing.,no
the meal are genuinely amazing.,no
"Had a engineers, best experience ever. Not.",yes
Had a great time with doctors.,no
Can't wait for more of musicians.,yes
writers are truly inspiring.,no
"Everyone loves engineers, right?",yes
"Oh great, another the meal. Just what I needed.",yes
Had a great time with the workshop.,no
I find the meal to be wonderful.,no
"Everyone loves the concert, right?",yes
"Oh great, another the concert. Just what I needed.",yes
"this movie are so wonderful, said no one ever.",yes
artists are truly inspiring.,no
I genuinely love this movie.,no
I am always excited for this book.,no
Because scientists really make everything better.,yes
Can't wait for more of the game.,yes
"Had a the game, best experience ever. Not.",yes
"the concert are so wonderful, said no one ever.",yes
"Had a the concert, best experience ever. Not.",yes
"the workshop are so wonderful, said no one ever.",yes
I just love when the conference happens.,yes
"the workshop are so wonderful, said no one ever.",yes
Can't wait for more of this movie.,yes
I just love when scientists happens.,yes
I am always excited for this book.,no
I find the conference to be wonderful.,no
Had a great time with this movie.,no
Can't wait for more of the conference.,no
this movie are genuinely amazing.,no
Can't wait for more of the workshop.,yes
artists are genuinely amazing.,no
Had a great time with artists.,no
Because athletes really make everything better.,yes
artists have always been great.,no
artists are genuinely amazing.,no
I just love when this movie happens.,yes
Can't wait for more of engineers.,no
I find musicians to be wonderful.,no
Can't wait for more of this book.,no
"the game are so wonderful, said no one ever.",yes
my new phone have always been great.,no
I just love when doctors happens.,yes
Can't wait for more of doctors.,no
"Oh great, another my new phone. Just what I needed.",yes
Nothing better than a musicians moment.,yes
"Had a the workshop, best experience ever. Not.",yes
Because vegetarians really make everything better.,yes
I genuinely love doctors.,no
Because doctors really make everything better.,yes
Because the conference really make everything better.,yes
I am always excited for engineers.,no
my new phone are truly inspiring.,no
"Everyone loves this movie, right?",yes
the concert are genuinely amazing.,no
"the workshop are so wonderful, said no one ever.",yes
I am always excited for engineers.,no
Can't wait for more of writers.,no
"the conference are so wonderful, said no one ever.",yes
I just love when this movie happens.,yes
"this book are so wonderful, said no one ever.",yes
"Had a athletes, best experience ever. Not.",yes
Can't wait for more of the concert.,yes
I just love when engineers happens.,yes
Can't wait for more of doctors.,no
I am always excited for the conference.,no
Can't wait for more of the conference.,no
Nothing better than a this movie moment.,yes
"my new phone are so wonderful, said no one ever.",yes
Can't wait for more of musicians.,yes
the concert are genuinely amazing.,no
I just love when engineers happens.,yes
"Oh great, another the concert. Just what I needed.",yes
Nothing better than a engineers moment.,yes
Can't wait for more of vegetarians.,no
"Had a doctors, best experience ever. Not.",yes
scientists are truly inspiring.,no
"Oh great, another artists. Just what I needed.",yes
Nothing better than a this book moment.,yes
Because the concert really make everything better.,yes
I just love when athletes happens.,yes
I genuinely love the workshop.,no
Because engineers really make everything better.,yes
the workshop are genuinely amazing.,no
athletes are genuinely amazing.,no
"Everyone loves my new phone, right?",yes
Nothing better than a this book moment.,yes
"Had a the conference, best experience ever. Not.",yes
I am always excited for vegetarians.,no
Because engineers really make everything better.,yes
"Had a the conference, best experience ever. Not.",yes
"Oh great, another the conference. Just what I needed.",yes
I genuinely love athletes.,no
I find the game to be wonderful.,no
I am always excited for musicians.,no
vegetarians are truly inspiring.,no
Had a great time with vegetarians.,no
Nothing better than a the conference moment.,yes
Can't wait for more of the concert.,yes
Because engineers really make everything better.,yes
athletes are genuinely amazing.,no
"engineers are so wonderful, said no one ever.",yes
Had a great time with the workshop.,no
"Everyone loves my new phone, right?",yes
I just love when the meal happens.,yes
my new phone have always been great.,no
I am always excited for the game.,no
vegetarians are genuinely amazing.,no
I genuinely love artists.,no
I genuinely love the concert.,no
I just love when the concert happens.,yes
I genuinely love the meal.,no
Can't wait for more of engineers.,yes
Can't wait for more of the meal.,no
Had a great time with the game.,no
vegetarians are truly inspiring.,no
this movie have always been great.,no
I genuinely love scientists.,no
the workshop are truly inspiring.,no
Nothing better than a musicians moment.,yes
I genuinely love this movie.,no
"Had a the workshop, best experience ever. Not.",yes
Had a great time with engineers.,no
"the game are so wonderful, said no one ever.",yes
"Everyone loves writers, right?",yes
Had a great time with musicians.,no
I find writers to be wonderful.,no
I just love when scientists happens.,yes
Because athletes really make everything better.,yes
"Oh great, another doctors. Just what I needed.",yes
I just love when engineers happens.,yes
